,place_id,name,address,latitude,longitude,types,googleMapsUri,priceRange,place_overall_rating,userRatingCount,extract_date,author_name,user_review_rating,text,author_id,uniqueID,timestamp,state,main_category,sub_category,operating_hours_cleaned,Monday_hours,Tuesday_hours,Wednesday_hours,Thursday_hours,Friday_hours,Saturday_hours,Sunday_hours,clean_name,weak_label,is_consistent,vader_score
5619,ChIJxfl3e2LsyjERnsQLj4UI4TA,Bricks & Barrels Ipoh,"28, Jalan Lau Ek Ching, Kampung Jawa, 30300 Ipoh, Perak, Malaysia",4.598989,101.0856885,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=3522105753304024222,2.0,4.2,1116,2025-10-20,Jasmine Leong,2,"Came here for couple of drinks. Ordered a tower, 2 cocktails and a mocktail. The mocktail was nice. The tower was decent. Disappointed with the cocktails. Tasted watered down and not so much flavor. Even though we ordered passionfruit mojito and piña colada.
Environment wise. Outside sitting was better as the live band was too loud. Ear piercing music. Someone should look into the balance of sound. They were almost screaming into the mic. Hence we had to just sit outside after attempted to sit inside for 1 minute. Songs selection was great. Just cannot stand the volume. Too much treble i think.
Service …… mmmm…. The waiter had to repeat so many times to reconfirm the order and can yet miss out some.  Go in and come back reconfirm. Maybe can take note on paper instead.",103385645141515743965,ChIJxfl3e2LsyjERnsQLj4UI4TA_103385645141515743965,2024-09-20 14:36:43,Perak,restaurant,bar_nightlife,Monday: Closed | Tuesday: 5:00PM-2:00AM | Wednesday: 5:00PM-2:00AM | Thursday: 5:00PM-2:00AM | Friday: 5:00PM-2:00AM | Saturday: 5:00PM-2:00AM | Sunday: 5:00PM-2:00AM,Closed,5:00PM-2:00AM,5:00PM-2:00AM,5:00PM-2:00AM,5:00PM-2:00AM,5:00PM-2:00AM,5:00PM-2:00AM,Bricks & Barrels Ipoh,negative,False,0.7841
9730,ChIJV5ignTz_PzIR85E4pHIZWd8,Pizza Hut Restaurant Seafest Semporna,"1, Jln Kastam, Pekan Semporna, 91308 Semporna, Sabah, Malaysia",4.4796497,118.6177174,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=16093922723557315059,2.0,4.6,362,2025-10-29,Joachim van der Lei,2,The pizza is incredibly small and took more than an hour to get here. Taste is average at best.,114716930148664976918,ChIJV5ignTz_PzIR85E4pHIZWd8_114716930148664976918,2025-05-26 14:35:34,Sabah,restaurant,restaurant,Monday: 10:00AM-10:00PM | Tuesday: 10:00AM-10:00PM | Wednesday: 10:00AM-10:00PM | Thursday: 10:00AM-10:00PM | Friday: 10:00AM-10:00PM | Saturday: 10:00AM-10:00PM | Sunday: 10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,Pizza Hut Restaurant Seafest Semporna,negative,False,0.6369
10432,ChIJyxQtdyM2zDERh40cqkF4Im4,Fatt Kee Roast Fish ç™¼è¨˜æ‹›ç‰Œç‰¹è‰²çƒ¤é±¼,"B-G-03, B-01-03, B-02-03, B-G-3A, B-01-3A, B-02-3A, RESIDENSI CONTINEW, Jln Yew, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1339831,101.7171545,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=7936037716802440583,3.0,3.7,1955,2025-10-19,Jennifer Tham,2,"Recently, me and friends visited a highly acclaimed restaurant. Although we weren't entirely satisfied with the taste, we had a few points to address and were confused about the ingredients in the soup.

We didn't smell any pleasant aromas, and the flavor of the soup left us puzzled. We ordered the 红枣鱼, but it had a strong fishy taste, and we even found sand in the clams. The portion of rice was small, and what made us hesitate even more was the additional charge of RM1 per small packet of tissues. We believe that providing complimentary tissues is a basic service for a restaurant, especially one of such size.

We bravely tried their signature spicy dish, B-0.5, but the spiciness exceeded our expectations. It completely overshadowed the flavor of the soup and left us feeling overwhelmed by the fiery sensation, making it difficult to adapt.

Overall, we were not satisfied with our experience at this restaurant and have decided not to visit again. However, if you are interested in a slightly sour and spicy taste or enjoy spicy challenges, you may have a different opinion.",117495485760684203820,ChIJyxQtdyM2zDERh40cqkF4Im4_117495485760684203820,2023-07-25 06:45:22,Kuala Lumpur,restaurant,restaurant,Monday: 12:00PM-11:30AM | Tuesday: 12:00PM-11:30AM | Wednesday: 12:00PM-11:30AM | Thursday: 12:00PM-11:30AM | Friday: 12:00PM-11:30AM | Saturday: 12:00PM-11:30AM | Sunday: 12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,12:00PM-11:30AM,Fatt Kee Roast Fish,negative,False,0.8892
10472,ChIJb13kIAA3zDERpFDZ6om6-lM,CafÃ© KitsunÃ© - Pavilion Kuala Lumpur,"Lot P2.07.00, Level 2 Pavilion,Pavilion Kuala Lumpur Bukit Bintang Street, Bukit Bintang Kuala Lumpur, Bukit Bintang, 55100 Wilayah Persekutuan, Federal Territory of Kuala Lumpur, Malaysia",3.1493199,101.7133603,"['cafe', 'establishment', 'food', 'point_of_interest']",https://maps.google.com/?cid=6051354150839079076,,4.4,327,2025-10-19,nIKi nIkS,1,"Visited Café Kitsuné at Pavilion KL with high expectations, the place looks fantastic, stylish, and inviting, definitely a luxury café vibe. Unfortunately, the experience was seriously let down by the food, particularly the cake.
We ordered two of their cakes, expecting something high-quality to match the ambiance and pricing. Instead, we was served the driest, roughest cakes we've ever tasted, especially disappointing for a café located in a premium mall. It tasted stale, lacked moisture, and had a texture more fitting of something left out for days than a freshly made dessert.
For a brand with such a strong reputation and aesthetic appeal, this level of quality is simply unacceptable. It felt like all the attention went into the branding and decor, with none left for product quality. We genuinely expected more from such an upscale location.
If you’re coming here just for the photos and atmosphere, you’ll probably enjoy it. But if you're looking for a good café experience with delicious food to match the environment, this was a huge letdown. Hope they seriously rethink their menu and quality control.",101400469056927453454,ChIJb13kIAA3zDERpFDZ6om6-lM_101400469056927453454,2025-06-28 15:53:10,Kuala Lumpur,restaurant,cafe_bakery,Monday: 10:00AM-10:00PM | Tuesday: 10:00AM-10:00PM | Wednesday: 10:00AM-10:00PM | Thursday: 10:00AM-10:00PM | Friday: 10:00AM-10:00PM | Saturday: 10:00AM-10:00PM | Sunday: 10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,Caf Kitsun - Pavilion Kuala Lumpur,negative,False,0.9556
10473,ChIJb13kIAA3zDERpFDZ6om6-lM,CafÃ© KitsunÃ© - Pavilion Kuala Lumpur,"Lot P2.07.00, Level 2 Pavilion,Pavilion Kuala Lumpur Bukit Bintang Street, Bukit Bintang Kuala Lumpur, Bukit Bintang, 55100 Wilayah Persekutuan, Federal Territory of Kuala Lumpur, Malaysia",3.1493199,101.7133603,"['cafe', 'establishment', 'food', 'point_of_interest']",https://maps.google.com/?cid=6051354150839079076,,4.4,327,2025-10-19,Glenn Reynolds,2,"Fairly good food and service. High prices. 25 RM for a tiny bowl of cereal.

You'll spend a while on your phone ordering through a QR code. Then you can have the pleasure of doing online banking to pay for it like you're on Amazon.

They should just hire another staff member.",112049836737076491255,ChIJb13kIAA3zDERpFDZ6om6-lM_112049836737076491255,2025-08-05 04:37:14,Kuala Lumpur,restaurant,cafe_bakery,Monday: 10:00AM-10:00PM | Tuesday: 10:00AM-10:00PM | Wednesday: 10:00AM-10:00PM | Thursday: 10:00AM-10:00PM | Friday: 10:00AM-10:00PM | Saturday: 10:00AM-10:00PM | Sunday: 10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,Caf Kitsun - Pavilion Kuala Lumpur,negative,False,0.8555
10479,ChIJL1YwbSw2zDER5nPBcUW5nCw,Jake's Charbroil Steak,"21, Jalan Setiapuspa, Medan Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1398884,101.6580662,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=3214647941948077030,3.0,4.3,1223,2025-10-19,baytorck,2,Tried their overpriced Spare ribs. Taste ok but the meat texture insufficient tenderness and quality of the plain looking dish doesn’t commensurate the asking price. The striploin is just mediocre similar to average restaurant outside with the price of 20% cheaper. This restaurant used to be relevant 20 years ago but in the advent of many more meat based restaurants which provide better value and quality I think they’re past their prime. The ambiance is crowded and clutter. Basically you’re paying for the restaurant’s past glory and service.,116540973188539372714,ChIJL1YwbSw2zDER5nPBcUW5nCw_116540973188539372714,2024-12-19 07:23:07,Kuala Lumpur,restaurant,restaurant,"Monday: 12:00-3:00PM, 6:00-11:00PM | Tuesday: 12:00-3:00PM, 6:00-11:00PM | Wednesday: 12:00-3:00PM, 6:00-11:00PM | Thursday: 12:00-3:00PM, 6:00-11:00PM | Friday: 12:00-3:00PM, 6:00-11:00PM | Saturday: 12:00-3:00PM, 6:00-11:00PM | Sunday: 6:00-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM","12:00PM-3:00PM, 6:00PM-11:00PM",6:00PM-11:00PM,Jake's Charbroil Steak,negative,False,0.9517
10484,ChIJazRID5hJzDERCQ_ZOftCubw,Yeast Bistronomy,"24G, Jalan Telawi 2, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1319167,101.6718287,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=13598974196596674313,3.0,4.6,2576,2025-10-19,weihoong ho,2,"Despite being a long standing cafe in the heart of bangsar, felt that flavors didn’t match the price.

Croissant came very cold with no crunchy exterior and almond filling was bare.

Had the eggs and stew but the overall stew lacked any flavor from bases like tomato or onions, just tasted like meat. even then, the meat within was quite dry too.

Other dishes missed the mark as well. Service was alright.",109574071536696474506,ChIJazRID5hJzDERCQ_ZOftCubw_109574071536696474506,2025-08-22 00:21:05,Kuala Lumpur,restaurant,restaurant,Monday: 8:00AM-9:00PM | Tuesday: 8:00AM-9:00PM | Wednesday: 8:00AM-9:00PM | Thursday: 8:00AM-9:00PM | Friday: 8:00AM-9:00PM | Saturday: 8:00AM-9:00PM | Sunday: 8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,Yeast Bistronomy,negative,False,0.8663
10658,ChIJP2sBZvdHzDERHFxUaxtCbb8,Paksu Chicken Chop,"130, Jalan Desa Gombak 1, Taman Desa Gombak, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1944125,101.7050964,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=13793753919237938204,2.0,4.2,970,2025-10-19,ezwan hakim,1,"I think the food needs a lot of improvement:

1. The lamb doesn’t taste grilled at all.

2. The lamb is very  chewy, making it feel not worth the price.

3. The BBQ sauce needs improvement as the flavor is too weak.

4. Parking is difficult as the available spots are very limited.

The only good thing is that the portion size is generous.

I hope the owner takes this feedback seriously and improves the food quality.",114451673374914256064,ChIJP2sBZvdHzDERHFxUaxtCbb8_114451673374914256064,2025-01-30 14:22:44,Kuala Lumpur,restaurant,restaurant,Monday: Closed | Tuesday: Closed | Wednesday: 4:00PM-12:00AM | Thursday: 4:00PM-12:00AM | Friday: Closed | Saturday: Closed | Sunday: Closed,Closed,Closed,4:00PM-12:00AM,4:00PM-12:00AM,Closed,Closed,Closed,Paksu Chicken Chop,negative,False,0.8377
10659,ChIJP2sBZvdHzDERHFxUaxtCbb8,Paksu Chicken Chop,"130, Jalan Desa Gombak 1, Taman Desa Gombak, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1944125,101.7050964,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=13793753919237938204,2.0,4.2,970,2025-10-19,Yuenz Low,1,"Promo price at rm6.90 for chicken chop.

Queue for 15 mins . Environment is okay not hot quite chilling . They served free iced and warm water which is good.
The service is friendly and fast too.

Chicken chop have weird taste , pepper sauce is blend . Coleslaw mayonnaise overly sweet !
Fries can be cook longer.

Overall rm6.90 is acceptable . But I won’t come back because it really not fit my taste bud .",107394516049440519847,ChIJP2sBZvdHzDERHFxUaxtCbb8_107394516049440519847,2025-01-01 12:00:32,Kuala Lumpur,restaurant,restaurant,Monday: Closed | Tuesday: Closed | Wednesday: 4:00PM-12:00AM | Thursday: 4:00PM-12:00AM | Friday: Closed | Saturday: Closed | Sunday: Closed,Closed,Closed,4:00PM-12:00AM,4:00PM-12:00AM,Closed,Closed,Closed,Paksu Chicken Chop,negative,False,0.6961
10736,ChIJ30tRp_Y3zDERIficys6EhBQ,Sakana Japanese Dining,"G11, Ground Floor, Menara Berkembar Petronas, Jln Ampang, City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1562639,101.7120879,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=1478452601381779489,,4.5,943,2025-10-19,Nazanin Damavandi,2,"We’re big fans of sushi and ramen, so we were excited to try this place. Unfortunately, it didn’t quite meet our expectations.

First, the menu was very limited. Perhaps we’re not sushi experts , but compared to other standard sushi restaurants, the variety was disappointing — we simply didn’t have many options to choose from.

Second, the taste was underwhelming. The soup was decent compared to the rest of the dishes, but overall, the flavors just didn’t impress us. It’s definitely not a place we’d return to.

The environment was okay, and to their credit, the food was delivered to our table very quickly. However, the prices were shockingly high — it was extremely expensive and simply not worth the money. Definitely an OMG moment, but not in a good way.",114040108482332155734,ChIJ30tRp_Y3zDERIficys6EhBQ_114040108482332155734,2025-06-17 08:47:46,Kuala Lumpur,restaurant,restaurant,Monday: 10:00AM-11:00PM | Tuesday: 10:00AM-11:00PM | Wednesday: 10:00AM-11:00PM | Thursday: 10:00AM-11:00PM | Friday: 10:00AM-11:00PM | Saturday: 10:00AM-11:00PM | Sunday: 10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,10:00AM-11:00PM,Sakana Japanese Dining,negative,False,0.7563
